Name: juniyasyos/sp-ikp
Version: dev-main b7c156f
Licenses: proprietary
Dependencies:

Name                                         Version    Licenses                                 
ryangjchandler/blade-capture-directive       v1.1.1     MIT                                      
scrivo/highlight.php                         v9.18.1.10 BSD-3-Clause                             
sebastian/cli-parser                         4.2.1      BSD-3-Clause                             
sebastian/comparator                         7.1.8      BSD-3-Clause                             
sebastian/complexity                         5.0.0      BSD-3-Clause                             
sebastian/diff                               7.0.0      BSD-3-Clause                             
sebastian/environment                        8.1.2      BSD-3-Clause                             
sebastian/exporter                           7.0.3      BSD-3-Clause                             
sebastian/global-state                       8.0.2      BSD-3-Clause                             
sebastian/lines-of-code                      4.0.1      BSD-3-Clause                             
sebastian/object-enumerator                  7.0.0      BSD-3-Clause                             
sebastian/object-reflector                   5.0.0      BSD-3-Clause                             
sebastian/recursion-context                  7.0.1      BSD-3-Clause                             
sebastian/type                               6.0.4      BSD-3-Clause                             
sebastian/version                            6.0.0      BSD-3-Clause                             
spatie/image                                 3.9.4      MIT                                      
spatie/image-optimizer                       1.8.1      MIT                                      
spatie/invade                                2.1.0      MIT                                      
spatie/laravel-medialibrary                  11.23.0    MIT                                      
spatie/laravel-package-tools                 1.93.1     MIT                                      
spatie/laravel-permission                    6.25.0     MIT                                      
spatie/shiki-php                             2.4.0      MIT                                      
spatie/temporary-directory                   2.3.1      MIT                                      
spykapps/theme-edinburgh                     v1.0.3     MIT                                      
staabm/side-effects-detector                 1.0.5      MIT                                      
stechstudio/filament-impersonate             v5.5.0     MIT                                      
symfony/clock                                v8.1.0     MIT                                      
symfony/console                              v7.4.13    MIT                                      
symfony/css-selector                         v8.1.0     MIT                                      
symfony/deprecation-contracts                v3.7.0     MIT                                      
symfony/error-handler                        v7.4.8     MIT                                      
symfony/event-dispatcher                     v8.1.0     MIT                                      
symfony/event-dispatcher-contracts           v3.7.0     MIT                                      
symfony/filesystem                           v8.1.0     MIT                                      
symfony/finder                               v7.4.8     MIT                                      
symfony/html-sanitizer                       v8.1.0     MIT                                      
symfony/http-foundation                      v7.4.13    MIT                                      
symfony/http-kernel                          v7.4.13    MIT                                      
symfony/mailer                               v7.4.12    MIT                                      
symfony/mime                                 v7.4.13    MIT                                      
symfony/polyfill-ctype                       v1.37.0    MIT                                      
symfony/polyfill-intl-grapheme               v1.38.1    MIT                                      
symfony/polyfill-intl-idn                    v1.38.1    MIT                                      
symfony/polyfill-intl-normalizer             v1.38.0    MIT                                      
symfony/polyfill-mbstring                    v1.38.1    MIT                                      
symfony/polyfill-php80                       v1.37.0    MIT                                      
symfony/polyfill-php83                       v1.38.1    MIT                                      
symfony/polyfill-php84                       v1.38.1    MIT                                      
symfony/polyfill-php85                       v1.38.1    MIT                                      
symfony/polyfill-uuid                        v1.37.0    MIT                                      
symfony/process                              v7.4.13    MIT                                      
symfony/routing                              v7.4.13    MIT                                      
symfony/service-contracts                    v3.7.0     MIT                                      
symfony/string                               v8.1.0     MIT                                      
symfony/translation                          v8.1.0     MIT                                      
symfony/translation-contracts                v3.7.0     MIT                                      
symfony/uid                                  v7.4.9     MIT                                      
symfony/var-dumper                           v7.4.8     MIT                                      
symfony/yaml                                 v8.1.0     MIT                                      
ta-tikoma/phpunit-architecture-test          0.8.7      MIT                                      
theseer/tokenizer                            2.0.1      BSD-3-Clause                             
tijsverkoyen/css-to-inline-styles            v2.4.0     BSD-3-Clause                             
tomatophp/console-helpers                    v1.1.0     MIT                                      
tomatophp/filament-icons                     4.0.0      MIT                                      
ueberdosis/tiptap-php                        2.1.0      MIT                                      
vlucas/phpdotenv                             v5.6.3     BSD-3-Clause                             
voku/portable-ascii                          2.1.1      MIT                                      
webmozart/assert                             2.4.0      MIT                                      
wikimedia/composer-merge-plugin              v2.1.0     MIT   
